"word","frequency"
"is",18146
"a",37306
"former",804
"footballer",110
"who",3373
"plays",212
"as",13842
"defender",38
"and",53971
"current",310
"of",61316
"played",1112
"for",15518
"the",112858
"then",1474
"known",1461
"he",7059
"was",23232
"named",816
"manager",142
"an",7053
"urban",104
"adult",71
"contemporary",132
"music",797
"formatted",4
"radio",254
"station",520
"owned",237
"by",13008
"that",10777
"serves",135
"currently",329
"ranked",144
"rating",81
"system",448
"highest",225
"rated",45
"licensed",49
"to",37263
"broadcasts",25
"on",14109
"frequency",47
"at",9794
"effective",87
"radiated",3
"power",273
"from",9573
"atop",19
"along",735
"with",13027
"six",454
"other",2199
"all",1979
"share",110
"studios",24
"in",45927
"neighborhood",80
"far",208
"southeast",58
"has",4421
"unusually",11
"strong",182
"signal",40
"class",192
"can",1498
"be",4459
"heard",58
"across",313
"majority",172
"even",462
"parts",208
"eastern",159
"western",170
"sometimes",236
"mistaken",12
"or",4127
"confused",36
"same",987
"sports",143
"similar",360
"musical",185
"format",102
"dial",2
"position",302
"both",1154
"stations",123
"have",3084
"allowed",227
"them",954
"liners",3
"neither",52
"shares",48
"corporate",51
"began",870
"broadcasting",42
"digital",124
"using",461
"rimshot",1
"hot",46
"assigned",143
"call",130
"letters",117
"tower",89
"hill",27
"off",508
"west",275
"they",2508
"broadcast",134
"small",578
"trailer",22
"also",4581
"located",837
"built",628
"interests",59
"became",1386
"changed",258
"soft",32
"adding",53
"smooth",32
"jazz",57
"programming",55
"eventually",272
"morphed",2
"into",2182
"continued",398
"after",2235
"many",1215
"years",1219
"moniker",15
"changing",49
"its",3321
"callsign",5
"change",214
"ratings",30
"transmitter",11
"upgraded",27
"moved",592
"choppy",2
"announced",445
"sale",68
"consummated",2
"da",31
"subway",15
"de",870
"services",240
"neighbourhood",18
"lower",187
"secondary",106
"school",1083
"grades",48
"situated",127
"near",548
"right",250
"next",463
"had",4401
"been",2697
"later",1210
"building",533
"another",553
"it",4705
"completely",103
"new",1688
"two",2701
"schools",216
"were",5802
"time",1449
"municipality",150
"when",2015
"decided",293
"allow",163
"students",439
"study",269
"eight",258
"ninth",53
"year",715
"educated",105
"largely",119
"wings",35
"therefore",98
"created",385
"irregular",33
"schoolyard",1
"only",1720
"open",298
"one",3101
"say",114
"strected",1
"design",302
"complicates",3
"communication",50
"between",1591
"three",1525
"whole",124
"storeys",3
"above",227
"ground",175
"used",1517
"brushed",2
"chalk",2
"walls",58
"red",137
"brick",87
"roof",64
"thus",188
"giving",128
"area",723
"unified",19
"most",1438
"facades",4
"still",569
"receiving",96
"scepticism",1
"facade",28
"getting",94
"really",87
"enthusiasm",13
"monument",46
"winter",76
"torn",13
"give",203
"way",397
"suffered",119
"mold",1
"generally",184
"poor",108
"condition",75
"attended",268
"barracks",25
"completed",291
"fall",145
"metres",165
"hurdles",4
"event",236
"held",857
"unofficial",21
"athletes",49
"countries",185
"participated",158
"submarine",37
"volcano",10
"part",1365
"group",773
"island",187
"several",983
"times",251
"throughout",311
"first",3802
"spotted",30
"crew",81
"ship",185
"while",1210
"coral",3
"erupted",10
"sprouted",1
"tons",33
"molten",2
"days",297
"eruption",18
"eruptions",3
"occurred",89
"consolidating",5
"expanding",27
"surface",102
"m",77
"height",63
"caused",160
"explosion",16
"collapse",22
"which",5302
"disappeared",20
"recorded",432
"underwater",7
"major",510
"military",411
"exercise",41
"involving",53
"largest",297
"single",605
"deployment",16
"forces",281
"since",866
"naval",41
"aircraft",151
"helicopters",13
"compared",130
"previous",321
"force",144
"around",741
"addition",266
"over",1708
"took",852
"illustrated",38
"number",1197
"problems",99
"traditional",184
"attitude",28
"shortages",5
"modern",235
"equipment",87
"essential",46
"spares",2
"fell",127
"down",459
"face",115
"these",876
"mostly",202
"gun",68
"fixed",56
"invasion",63
"performed",366
"extremely",67
"well",1030
"report",129
"stated",239
"joint",67
"rapid",37
"reaction",66
"are",5486
"intended",137
"able",298
"operate",74
"anywhere",26
"concern",39
"does",280
"not",3428
"hold",161
"sufficient",47
"stocks",5
"desert",25
"combat",108
"suits",4
"equip",4
"myriad",10
"called",1036
"said",679
"key",146
"point",303
"exercises",18
"us",73
"identify",45
"challenges",37
"our",207
"might",193
"actually",155
"operating",171
