word,count,rank,percentile,score
the,398,0,0,0
and,175,1,3,9
of,164,2,6,18
in,117,3,9,27
a,94,4,11,33
to,93,5,14,42
is,73,6,17,51
was,53,7,20,60
with,47,8,23,69
as,47,8,23,69
at,47,8,23,69
for,44,9,26,78
on,43,10,29,87
his,38,11,31,93
by,33,12,34,102
from,30,13,37,111
an,27,14,40,120
are,26,15,43,129
he,23,16,46,138
which,22,17,49,147
area,22,17,49,147
river,20,18,51,153
that,19,19,54,162
first,18,20,57,171
has,17,21,60,180
water,16,22,63,189
several,14,23,66,198
season,14,23,66,198
were,14,23,66,198
its,14,23,66,198
also,12,24,69,207
it,12,24,69,207
land,12,24,69,207
through,11,25,71,213
have,11,25,71,213
being,10,26,74,222
number,10,26,74,222
played,9,27,77,231
been,9,27,77,231
who,9,27,77,231
out,9,27,77,231
near,9,27,77,231
this,8,28,80,240
works,8,28,80,240
their,8,28,80,240
player,8,28,80,240
million,8,28,80,240
two,8,28,80,240
would,8,28,80,240
named,8,28,80,240
against,8,28,80,240
flows,8,28,80,240
treatment,8,28,80,240
had,7,29,83,249
east,7,29,83,249
known,6,30,86,258
years,6,30,86,258
part,6,30,86,258
they,6,30,86,258
made,6,30,86,258
since,6,30,86,258
ice,6,30,86,258
before,6,30,86,258
over,6,30,86,258
be,6,30,86,258
high,6,30,86,258
lower,6,30,86,258
where,6,30,86,258
designated,6,30,86,258
conservation,6,30,86,258
into,6,30,86,258
metres,6,30,86,258
later,5,31,89,267
published,5,31,89,267
during,5,31,89,267
until,5,31,89,267
captain,5,31,89,267
goal,5,31,89,267
retired,5,31,89,267
along,5,31,89,267
scored,5,31,89,267
then,5,31,89,267
well,5,31,89,267
used,5,31,89,267
south,5,31,89,267
upstream,5,31,89,267
catchment,5,31,89,267
rural,5,31,89,267
areas,5,31,89,267
agricultural,5,31,89,267
sites,5,31,89,267
limestone,5,31,89,267
major,5,31,89,267
weir,5,31,89,267
film,5,31,89,267
him,4,32,91,273
began,4,32,91,273
joined,4,32,91,273
released,4,32,91,273
bought,4,32,91,273
top,4,32,91,273
new,4,32,91,273
having,4,32,91,273
when,4,32,91,273
management,4,32,91,273
coach,4,32,91,273
scoring,4,32,91,273
points,4,32,91,273
but,4,32,91,273
game,4,32,91,273
trade,4,32,91,273
less,4,32,91,273
than,4,32,91,273
best,4,32,91,273
currently,4,32,91,273
use,4,32,91,273
covers,4,32,91,273
past,4,32,91,273
waters,4,32,91,273
there,4,32,91,273
about,4,32,91,273
largely,4,32,91,273
arable,4,32,91,273
undulating,4,32,91,273
many,4,32,91,273
barrage,4,32,91,273
gates,4,32,91,273
born,3,33,94,282
musical,3,33,94,282
became,3,33,94,282
awarded,3,33,94,282
member,3,33,94,282
band,3,33,94,282
them,3,33,94,282
becoming,3,33,94,282
live,3,33,94,282
recorded,3,33,94,282
former,3,33,94,282
hockey,3,33,94,282
seasons,3,33,94,282
between,3,33,94,282
following,3,33,94,282
overall,3,33,94,282
won,3,33,94,282
team,3,33,94,282
one,3,33,94,282
rookie,3,33,94,282
head,3,33,94,282
finished,3,33,94,282
record,3,33,94,282
point,3,33,94,282
goals,3,33,94,282
both,3,33,94,282
underwent,3,33,94,282
surgery,3,33,94,282
contract,3,33,94,282
after,3,33,94,282
games,3,33,94,282
all,3,33,94,282
next,3,33,94,282
free,3,33,94,282
salary,3,33,94,282
third,3,33,94,282
age,3,33,94,282
featured,3,33,94,282
second,3,33,94,282
batch,3,33,94,282
ordered,3,33,94,282
built,3,33,94,282
turret,3,33,94,282
up,3,33,94,282
control,3,33,94,282
far,3,33,94,282
confluence,3,33,94,282
course,3,33,94,282
towns,3,33,94,282
nature,3,33,94,282
upland,3,33,94,282
long,3,33,94,282
below,3,33,94,282
scattered,3,33,94,282
source,3,33,94,282
sandstone,3,33,94,282
underlying,3,33,94,282
supply,3,33,94,282
series,3,33,94,282
across,3,33,94,282
these,3,33,94,282
miles,3,33,94,282
continues,3,33,94,282
reaches,3,33,94,282
downstream,3,33,94,282
lies,3,33,94,282
flat,3,33,94,282
villages,3,33,94,282
moraine,3,33,94,282
form,3,33,94,282
open,3,33,94,282
meadows,3,33,94,282
tidal,3,33,94,282
upon,3,33,94,282
lock,3,33,94,282
navigation,3,33,94,282
level,3,33,94,282
mill,3,33,94,282
vessels,3,33,94,282
based,3,33,94,282
sitcom,3,33,94,282
music,2,34,97,291
received,2,34,97,291
beginning,2,34,97,291
wrote,2,34,97,291
zur,2,34,97,291
including,2,34,97,291
worked,2,34,97,291
often,2,34,97,291
