"word","frequency"
"is",89
"a",132
"novel",6
"by",43
"setting",1
"large",6
"known",3
"familiarly",1
"as",42
"because",5
"of",198
"its",11
"agricultural",4
"in",141
"the",396
"satire",2
"that",41
"uses",1
"sprawling",1
"narrative",1
"following",6
"lives",4
"dozens",1
"characters",8
"over",8
"course",2
"academic",1
"contains",2
"dozen",1
"overlapping",1
"plot",2
"lines",2
"and",197
"multiple",1
"protagonists",1
"therefore",1
"very",3
"difficult",1
"to",151
"summary",1
"includes",2
"are",9
"clearly",1
"resolved",1
"end",4
"one",10
"introduces",2
"building",4
"at",38
"center",2
"campus",5
"no",5
"longer",3
"home",6
"huge",1
"hog",1
"named",1
"whose",2
"only",4
"purpose",1
"life",7
"eat",1
"much",3
"he",23
"would",7
"like",1
"order",2
"grow",1
"possible",1
"part",3
"an",22
"experiment",3
"conducted",1
"sophomore",1
"cares",1
"for",55
"two",5
"residence",1
"hall",1
"on",50
"four",9
"newest",1
"residents",1
"each",3
"girls",1
"briefly",1
"reflects",5
"what",8
"has",18
"brought",1
"her",39
"their",16
"hopes",2
"college",1
"professor",9
"returning",3
"beginning",2
"school",2
"meets",5
"new",2
"faculty",5
"when",8
"classes",2
"up",7
"being",7
"neighboring",1
"adult",1
"woman",2
"who",31
"works",1
"university",10
"cafeteria",1
"caring",1
"elderly",1
"also",11
"volunteers",1
"where",7
"she",26
"dean",1
"decides",8
"needs",1
"complete",1
"his",41
"wife",1
"family",4
"small",2
"be",13
"perfect",1
"mate",1
"proposes",2
"contemplates",1
"engagement",1
"accept",1
"basis",1
"with",66
"successful",1
"economically",1
"stable",1
"older",2
"offer",1
"all",5
"things",3
"not",14
"able",2
"have",18
"believes",2
"will",3
"become",2
"kind",1
"continues",3
"lecture",3
"given",3
"economics",2
"economic",1
"gains",1
"found",2
"well",6
"attended",2
"students",5
"but",17
"during",14
"chairman",1
"becomes",5
"outraged",1
"attempts",3
"point",1
"out",11
"how",6
"detrimental",1
"pursuits",1
"provost",1
"associate",2
"wealthy",1
"amoral",1
"businessman",1
"emphasis",1
"aware",2
"budget",6
"constraints",1
"make",3
"deal",1
"offers",1
"give",1
"them",4
"money",5
"if",1
"they",13
"devote",1
"some",5
"research",2
"facilities",1
"help",2
"him",4
"important",2
"aspect",1
"introduction",2
"local",1
"farmer",2
"paranoid",2
"old",1
"man",2
"so",3
"suspicious",1
"big",3
"companies",1
"wears",2
"bulletproof",2
"vest",2
"every",2
"fear",2
"promoted",1
"fact",1
"machine",6
"revolutionize",1
"speak",1
"about",12
"men",2
"set",3
"future",4
"meeting",1
"come",4
"farm",5
"see",2
"close",4
"suffers",2
"oversees",1
"fleet",1
"horses",2
"girlfriend",1
